DT,distance(Km),heart,pace
2021-03-23 21:44:31,2.29,,8:12
2021-05-09 19:44:11,2.27,,10:08
2021-07-08 23:25:43,1.35,,9:14
2021-07-21 21:12:01,0.96,,8:49
2021-07-28 20:55:20,2.42,,7:31
2021-08-09 19:51:15,0.76,,7:19
2021-08-26 21:08:21,2.10,,8:29
2021-08-27 21:08:31,2.73,,9:16
2021-08-31 21:09:46,2.23,,7:55
2021-09-01 21:16:24,2.64,,8:37
2021-09-02 21:24:42,2.61,,9:20
2021-09-05 18:31:17,5.07,,8:24
2021-09-08 18:45:09,3.61,,7:54
2022-05-06 19:15:08,0.05,,0:00
2022-08-15 18:50:39,2.29,,7:53
2022-08-16 06:38:01,1.61,,6:35
2022-08-17 06:43:34,2.15,,7:06
2022-08-30 06:38:37,2.38,,7:53
2023-04-07 20:15:33,3.34,,8:34
2023-04-17 19:29:54,3.75,,8:13
2023-04-20 19:41:12,0.28,,10:13
2023-04-20 19:57:36,2.30,,8:51
2023-07-24 19:15:41,2.95,,9:47
2023-08-04 21:30:45,4.95,,8:52
2023-08-10 20:33:36,1.78,,8:59
2023-08-11 06:24:50,2.32,,7:15
2023-08-12 22:03:23,4.98,,7:55
2023-08-16 20:39:52,4.91,,7:25
2023-08-18 21:28:34,4.99,,7:00
2023-08-21 06:30:18,1.70,,7:17
2023-08-21 20:02:50,3.97,,7:29
2023-08-23 19:21:43,4.96,,6:40
2023-08-24 21:16:45,0.56,,6:25
2023-08-25 06:27:54,4.95,,7:11
2023-08-25 19:33:54,5.02,,7:41
2023-08-27 20:16:58,6.20,,7:37
2023-08-28 20:03:47,3.36,,6:59
2023-09-04 06:43:42,3.07,,6:34
2023-09-04 20:21:16,3.99,,7:22
2023-09-06 21:13:53,4.96,,7:00
2023-09-08 21:28:18,6.97,,7:27
2023-09-11 21:19:47,5.00,,6:25
2023-09-13 20:12:27,7.99,,6:49
2023-09-15 21:11:00,4.44,,9:23
2023-09-15 22:00:08,4.99,,5:57
2023-09-19 06:33:21,2.10,,6:44
2023-09-19 20:27:23,4.95,,7:03
2023-09-20 20:06:47,5.00,,5:50
2023-09-22 20:48:18,9.97,,6:59
2023-09-23 22:01:26,2.72,,6:42
2023-09-24 20:44:36,5.01,,6:06
2023-09-25 21:09:09,2.70,,6:16
2023-09-27 21:21:34,3.19,,6:09
2023-10-08 20:30:08,5.00,,5:56
2023-10-08 21:07:26,1.74,,7:11
2023-10-10 20:23:44,5.00,,5:37
2023-10-10 21:04:59,0.24,,4:07
2023-10-11 20:31:10,5.37,,5:59
2023-10-12 20:37:59,3.98,,8:01
2023-10-14 21:57:52,5.21,,5:58
2023-10-16 20:05:37,10.03,,6:03
2023-10-18 21:09:04,3.25,,6:00
2023-10-19 20:07:19,6.09,,6:02
2023-10-20 22:44:46,5.02,,5:32
2023-10-21 22:51:25,3.00,,5:55
2023-10-21 23:13:15,0.34,,8:34
2023-10-23 20:24:14,4.41,,6:12
2023-10-24 20:16:37,10.00,,5:55
2023-10-27 20:59:38,10.11,,5:46
2023-10-29 21:20:48,1.22,,6:04
2023-10-30 20:19:40,5.02,,5:39
2023-11-01 20:26:58,10.01,,5:43
2023-11-02 20:49:41,5.01,,5:57
2023-11-06 20:00:58,14.95,,6:17
2023-11-08 20:33:12,5.02,,5:27
2023-11-13 20:29:53,3.00,,6:39
2023-11-14 20:19:58,8.19,,6:08
2023-11-17 21:06:54,15.00,,5:57
2023-11-20 20:50:18,2.15,,5:15
2023-11-20 21:04:04,1.02,,4:43
2023-11-20 21:12:58,2.01,,6:06
2023-11-23 21:14:19,5.03,,5:51
2023-11-24 20:20:33,5.01,,5:23
2023-11-28 18:11:06,10.02,,5:36
2023-11-30 19:38:24,1.07,,5:02
2023-11-30 19:48:16,1.11,,4:33
2023-11-30 20:00:20,1.02,,5:39
2023-11-30 20:07:24,1.03,,4:49
2023-11-30 20:14:53,2.62,,6:04
2023-12-01 21:14:35,5.02,,5:45
2023-12-03 08:01:08,21.17,,6:17
2023-12-06 18:26:46,10.03,,5:09
2023-12-07 18:23:53,2.85,,5:43
2023-12-09 07:01:13,10.12,,5:27
2023-12-09 08:01:37,2.85,,5:57
2023-12-10 19:21:01,5.06,,4:51
2023-12-10 19:49:56,5.54,,6:28
2023-12-13 18:11:24,10.00,,5:41
2023-12-15 06:05:02,10.10,,5:11
2023-12-20 18:53:14,6.63,,6:01
2023-12-21 19:12:20,6.47,,5:39
2023-12-24 20:26:44,5.63,,5:36
2023-12-25 20:02:21,8.02,,5:51
2023-12-28 20:29:50,10.02,,5:19
2024-01-03 19:50:52,5.37,,6:24
2024-01-07 08:18:16,7.09,,6:02
2024-01-13 07:04:16,3.05,,5:22
2024-01-14 09:36:43,10.00,,5:35
2024-01-15 19:26:34,4.86,,9:19
2024-01-16 19:39:05,3.59,,8:08
2024-01-16 20:10:35,5.04,,5:06
2024-01-18 19:30:21,6.26,,7:16
2024-01-21 07:59:33,7.66,,6:30
2024-01-21 08:51:00,5.00,,5:54
2024-01-23 20:29:06,5.06,,5:44
2024-01-24 19:39:43,2.72,,7:58
